country,fifa_version,num_players,avg_overall,max_overall,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,avg_attack_overall,avg_defense_overall
Grenada,24,8,65.0,70,68.0,54.5,57.125,62.625,57.5,72.625,64.0,64.83333333333333
Guatemala,24,5,64.2,68,68.2,53.2,55.0,60.2,46.0,67.0,63.666666666666664,65.0
Guinea,24,14,72.85714285714286,78,67.64285714285714,63.42857142857143,63.285714285714285,69.14285714285714,55.214285714285715,70.28571428571429,73.0,72.8
Guinea-Bissau,24,14,69.78571428571429,75,78.78571428571429,59.0,60.214285714285715,69.28571428571429,54.42857142857143,68.78571428571429,70.83333333333333,70.33333333333333
Guyana,24,5,61.6,65,73.4,46.4,55.4,61.4,57.0,63.6,59.0,63.333333333333336
Haiti,24,9,66.0,72,77.0,51.833333333333336,59.5,65.83333333333333,51.0,64.66666666666667,64.0,66.33333333333333
Honduras,24,12,67.91666666666667,74,71.58333333333333,58.416666666666664,60.166666666666664,65.16666666666667,48.916666666666664,69.25,71.75,65.71428571428571
Hong Kong,24,4,62.25,69,64.25,36.75,41.5,50.5,54.25,65.0,59.5,63.666666666666664
Hungary,24,14,75.85714285714286,84,70.58333333333333,61.666666666666664,65.33333333333333,69.08333333333333,56.166666666666664,70.91666666666667,75.33333333333333,76.25
Iceland,24,14,71.92857142857143,76,70.3076923076923,63.76923076923077,66.38461538461539,69.76923076923077,56.61538461538461,70.61538461538461,71.55555555555556,72.6
India,24,14,62.285714285714285,66,72.5,44.0,51.166666666666664,57.25,49.5,68.91666666666667,62.8,62.0
Indonesia,24,3,60.666666666666664,64,67.0,42.333333333333336,50.666666666666664,54.0,57.0,64.33333333333333,60.666666666666664,62.0
Iran,24,14,70.85714285714286,82,72.07142857142857,61.214285714285715,64.0,68.92857142857143,53.714285714285715,70.42857142857143,72.5,68.85714285714286
Iraq,24,13,63.38461538461539,69,66.53846153846153,53.23076923076923,55.0,60.84615384615385,48.92307692307692,65.15384615384616,63.5,66.0
Ireland,24,14,73.64285714285714,76,63.0,52.2,62.3,65.0,68.1,73.3,74.5,73.61538461538461
Israel,24,14,70.5,77,71.76923076923077,61.38461538461539,62.15384615384615,68.07692307692308,48.30769230769231,65.0,72.0,68.5
Italy,24,14,84.35714285714286,87,75.5,65.33333333333333,73.0,77.33333333333333,71.5,78.91666666666667,84.25,84.22222222222223
Ivory Coast,24,14,78.5,83,76.92857142857143,65.35714285714286,69.5,75.71428571428571,64.0,75.64285714285714,77.8,78.0
Jamaica,24,14,73.85714285714286,79,77.92307692307692,67.76923076923077,64.07692307692308,72.0,45.23076923076923,69.84615384615384,72.81818181818181,76.0
Japan,24,14,78.0,81,78.07692307692308,65.76923076923077,72.3076923076923,77.84615384615384,60.23076923076923,69.0,78.33333333333333,77.5
Jordan,24,1,71.0,71,82.0,65.0,63.0,78.0,37.0,56.0,71.0,71.0
Kazakhstan,24,2,67.5,70,76.5,62.0,65.0,68.5,60.0,69.5,67.5,67.5
Kenya,24,9,64.55555555555556,74,71.55555555555556,45.55555555555556,53.666666666666664,59.77777777777778,57.0,70.0,62.75,65.71428571428571
Kosovo,24,14,73.92857142857143,81,71.38461538461539,63.92307692307692,67.3076923076923,72.61538461538461,49.30769230769231,68.6923076923077,73.0,74.16666666666667
Latvia,24,6,62.166666666666664,66,62.4,53.4,55.6,61.2,49.8,64.4,65.0,61.8
Lebanon,24,1,62.0,62,67.0,60.0,50.0,58.0,37.0,85.0,62.0,62.0
Liberia,24,6,65.16666666666667,76,66.33333333333333,48.5,59.166666666666664,61.833333333333336,57.833333333333336,70.33333333333333,61.0,67.0
Libya,24,4,72.5,81,72.0,62.75,64.75,69.5,57.25,68.0,70.0,73.33333333333333
Liechtenstein,24,1,69.0,69,70.0,57.0,69.0,70.0,60.0,67.0,69.0,69.0
Lithuania,24,5,62.4,66,65.6,44.6,55.4,56.0,58.4,68.4,62.4,62.4
Luxembourg,24,14,67.0,76,69.08333333333333,48.75,59.833333333333336,62.833333333333336,59.25,68.91666666666667,66.75,66.9
Madagascar,24,6,68.5,73,71.5,58.0,62.166666666666664,68.33333333333333,59.166666666666664,69.83333333333333,65.5,68.25
Malawi,24,2,59.5,64,73.5,35.5,48.5,54.0,56.0,62.0,55.0,59.5
Mali,24,14,76.21428571428571,80,75.78571428571429,61.785714285714285,68.28571428571429,75.21428571428571,64.78571428571429,74.07142857142857,74.75,76.72727272727273
Malta,24,5,67.6,79,67.4,54.6,59.8,62.0,60.8,62.8,71.5,67.6
Mauritania,24,3,65.33333333333333,66,71.5,52.5,52.0,62.0,43.5,72.0,64.0,66.0
Mauritius,24,1,65.0,65,65.0,41.0,53.0,57.0,64.0,76.0,65.0,65.0
Mexico,24,14,78.78571428571429,81,75.61538461538461,70.76923076923077,71.46153846153847,77.38461538461539,56.46153846153846,73.23076923076923,78.55555555555556,79.2
Moldova,24,11,65.0,72,62.1,55.0,53.2,58.7,49.1,69.5,65.4,63.2
Montenegro,24,14,71.5,82,70.0,57.69230769230769,58.61538461538461,64.76923076923077,51.15384615384615,74.61538461538461,70.66666666666667,72.125
Montserrat,24,2,63.0,65,62.5,38.5,51.0,53.0,61.5,75.5,63.0,63.0
Morocco,24,14,79.28571428571429,85,70.84615384615384,65.92307692307692,72.0,75.38461538461539,59.53846153846154,73.3076923076923,79.0,80.71428571428571
Mozambique,24,3,73.66666666666667,81,83.66666666666667,53.333333333333336,60.333333333333336,74.66666666666667,62.666666666666664,63.0,68.0,76.5
Namibia,24,1,64.0,64,74.0,66.0,62.0,66.0,33.0,69.0,64.0,64.0
Nepal,24,1,58.0,58,,,,,,,58.0,58.0
Netherlands,24,14,83.21428571428571,89,78.92307692307692,65.15384615384616,73.46153846153847,77.76923076923077,64.92307692307692,77.53846153846153,82.14285714285714,83.77777777777777
New Zealand,24,14,68.0,75,67.75,59.916666666666664,64.33333333333333,67.5,55.416666666666664,68.25,68.625,67.55555555555556
Niger,24,1,55.0,55,,,,,,,55.0,55.0
Nigeria,24,14,78.0,88,79.5,70.28571428571429,64.5,74.21428571428571,44.142857142857146,75.21428571428571,78.6,76.66666666666667
North Korea,24,1,63.0,63,57.0,68.0,49.0,57.0,30.0,72.0,63.0,63.0
North Macedonia,24,14,71.64285714285714,80,69.6923076923077,62.0,62.53846153846154,68.84615384615384,56.76923076923077,68.61538461538461,72.0,71.11111111111111
Northern Ireland,24,14,70.92857142857143,75,58.23076923076923,53.30769230769231,63.84615384615385,66.0,66.61538461538461,70.23076923076923,69.0,71.0909090909091
Norway,24,14,77.78571428571429,91,76.14285714285714,66.28571428571429,70.28571428571429,74.92857142857143,61.714285714285715,76.85714285714286,81.4,75.875
Pakistan,24,1,63.0,63,82.0,55.0,57.0,64.0,53.0,56.0,63.0,63.0
Palestine,24,2,68.5,73,66.5,55.0,51.0,55.5,48.5,75.0,73.0,64.0
Panama,24,14,67.92857142857143,72,69.64285714285714,57.0,57.0,64.0,46.42857142857143,66.5,67.625,68.57142857142857
Paraguay,24,14,75.57142857142857,81,75.5,65.0,67.14285714285714,72.92857142857143,57.785714285714285,69.71428571428571,76.5,74.4
Peru,24,14,73.92857142857143,78,68.58333333333333,66.33333333333333,66.5,71.41666666666667,53.083333333333336,71.83333333333333,74.0,74.0
Philippines,24,5,66.4,70,80.0,53.0,59.0,66.5,58.5,62.75,67.5,65.5
Poland,24,14,79.42857142857143,90,79.75,73.25,74.625,79.25,55.5,67.25,80.57142857142857,78.33333333333333
Portugal,24,14,84.71428571428571,89,76.25,73.75,78.5,81.91666666666667,64.25,74.16666666666667,85.0,84.0
Puerto Rico,24,2,59.5,65,71.5,42.0,52.5,58.5,44.0,54.5,59.5,65.0
Qatar,24,14,69.07142857142857,76,70.92307692307692,55.84615384615385,62.61538461538461,65.53846153846153,54.0,66.61538461538461,71.25,68.2
Romania,24,14,73.0,77,75.36363636363636,69.18181818181819,71.45454545454545,74.27272727272727,46.63636363636363,67.36363636363636,72.88888888888889,73.2
Russia,24,14,72.07142857142857,79,71.1,66.1,69.2,70.9,53.2,64.5,71.71428571428571,71.25
Saint Kitts and Nevis,24,3,63.666666666666664,67,66.66666666666667,49.666666666666664,56.0,60.666666666666664,56.666666666666664,67.66666666666667,60.0,63.666666666666664
Saint Lucia,24,3,65.0,67,73.0,45.333333333333336,55.666666666666664,60.333333333333336,58.666666666666664,72.0,63.0,65.0
Saudi Arabia,24,14,71.92857142857143,77,75.92307692307692,54.84615384615385,62.30769230769231,67.92307692307692,57.92307692307692,72.0,71.5,71.9
Scotland,24,14,76.92857142857143,86,75.15384615384616,66.6923076923077,72.53846153846153,76.0,67.84615384615384,73.84615384615384,75.16666666666667,77.45454545454545
Senegal,24,14,78.5,86,76.6923076923077,66.61538461538461,65.84615384615384,74.53846153846153,53.92307692307692,73.6923076923077,79.16666666666667,78.42857142857143
Serbia,24,14,80.0,86,62.416666666666664,72.66666666666667,73.66666666666667,75.75,61.083333333333336,79.91666666666667,80.8,78.75
Sierra Leone,24,12,66.08333333333333,70,79.33333333333333,54.666666666666664,55.5,66.33333333333333,43.083333333333336,67.25,67.11111111111111,63.8
Slovakia,24,14,76.21428571428571,84,72.41666666666667,60.416666666666664,65.91666666666667,70.83333333333333,66.0,72.5,74.25,77.1
Slovenia,24,14,74.71428571428571,88,67.58333333333333,62.0,67.41666666666667,70.58333333333333,59.333333333333336,71.91666666666667,73.2,76.0
South Africa,24,14,67.71428571428571,74,72.92857142857143,54.642857142857146,56.57142857142857,65.28571428571429,48.0,64.21428571428571,68.125,67.16666666666667
South Korea,24,14,76.07142857142857,87,74.0,69.23076923076923,69.46153846153847,74.76923076923077,51.30769230769231,71.53846153846153,76.625,75.16666666666667
South Sudan,24,2,53.0,55,76.0,41.0,41.0,54.0,36.5,56.5,55.0,51.0
Spain,24,14,84.64285714285714,89,70.61538461538461,72.92307692307692,81.84615384615384,82.46153846153847,70.46153846153847,72.0,83.8,85.14285714285714
Sri Lanka,24,1,63.0,63,57.0,27.0,50.0,50.0,64.0,70.0,63.0,63.0
Sudan,24,4,60.75,65,80.5,56.75,51.75,62.0,27.25,58.0,60.75,60.75
Suriname,24,12,69.5,78,77.0,52.583333333333336,61.166666666666664,66.91666666666667,60.0,70.66666666666667,71.8,68.7
Sweden,24,14,77.07142857142857,81,72.3076923076923,66.46153846153847,72.23076923076923,76.23076923076923,56.23076923076923,70.53846153846153,77.625,76.0
Switzerland,24,14,79.78571428571429,87,71.7,63.0,71.3,72.2,70.5,78.5,77.0,80.25
Syria,24,4,63.0,65,71.5,51.75,56.0,61.5,47.5,66.25,65.0,62.0
São Tomé and Príncipe,24,1,60.0,60,77.0,34.0,50.0,59.0,54.0,63.0,60.0,60.0
